model: 1, best: 1, AStype: 3, top: 1, p= 0.999998, second: 2, p= 1.15671e-06, third: 3, p= 3.53792e-07
model: 1, best: 1, AStype: 3, top: 1, p= 0.999997, second: 2, p= 1.55123e-06, third: 3, p= 3.9299e-07
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 3, p= 2.75339e-07, third: 6, p= 8.07031e-08
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 3, p= 1.02492e-07, third: 2, p= 5.00308e-08
model: 1, best: 1, AStype: 3, top: 1, p= 0.999999, second: 2, p= 4.19156e-07, third: 4, p= 1.59942e-07
model: 1, best: 1, AStype: 3, top: 1, p= 0.999998, second: 3, p= 1.231e-06, third: 6, p= 3.66283e-07
model: 1, best: 1, AStype: 3, top: 1, p= 0.999999, second: 7, p= 2.34692e-07, third: 3, p= 2.10562e-07
model: 2, best: 2, AStype: 1, top: 2, p= 0.925386, second: 6, p= 0.07428, third: 0, p= 0.000166723
model: 2, best: 2, AStype: 1, top: 2, p= 0.700107, second: 6, p= 0.299409, third: 1, p= 0.000269044
model: 2, best: 2, AStype: 1, top: 2, p= 0.872492, second: 6, p= 0.127244, third: 4, p= 0.000146575
model: 2, best: 2, AStype: 1, top: 2, p= 0.771091, second: 6, p= 0.228762, third: 7, p= 7.55571e-05
model: 2, best: 2, AStype: 1, top: 2, p= 0.97153, second: 6, p= 0.0265956, third: 5, p= 0.00184121
model: 2, best: 2, AStype: 1, top: 2, p= 0.971595, second: 6, p= 0.0226285, third: 9, p= 0.00576574
model: 2, best: 2, AStype: 1, top: 2, p= 0.871405, second: 6, p= 0.128376, third: 5, p= 9.71941e-05
model: 2, best: 2, AStype: 1, top: 2, p= 0.916969, second: 6, p= 0.083019, third: 5, p= 9.66384e-06
model: 2, best: 2, AStype: 1, top: 2, p= 0.958619, second: 6, p= 0.0408936, third: 0, p= 0.000297039
model: 2, best: 2, AStype: 1, top: 2, p= 0.851682, second: 6, p= 0.148079, third: 9, p= 0.000132687
model: 2, best: 2, AStype: 2, top: 2, p= 0.996463, second: 6, p= 0.0034849, third: 0, p= 2.61271e-05
model: 2, best: 2, AStype: 2, top: 2, p= 0.993907, second: 6, p= 0.00607312, third: 4, p= 1.84632e-05
model: 2, best: 2, AStype: 2, top: 2, p= 0.993669, second: 6, p= 0.00626518, third: 4, p= 3.58113e-05
model: 2, best: 2, AStype: 2, top: 2, p= 0.980431, second: 6, p= 0.0195653, third: 4, p= 2.7105e-06
model: 2, best: 2, AStype: 2, top: 2, p= 0.999071, second: 6, p= 0.000903865, third: 8, p= 2.23546e-05
model: 2, best: 2, AStype: 2, top: 2, p= 0.984825, second: 6, p= 0.0151713, third: 9, p= 1.71721e-06
