model: 2, best: 2, AStype: 1, top: 2, p= 0.487856, second: 6, p= 0.203436, third: 9, p= 0.17541
model: 2, best: 2, AStype: 1, top: 2, p= 0.620817, second: 6, p= 0.196329, third: 0, p= 0.057008
model: 2, best: 2, AStype: 1, top: 2, p= 0.318377, second: 6, p= 0.266304, third: 5, p= 0.0971074
model: 2, best: 2, AStype: 1, top: 2, p= 0.535541, second: 6, p= 0.190795, third: 0, p= 0.108247
model: 2, best: 2, AStype: 1, top: 2, p= 0.751907, second: 6, p= 0.118617, third: 7, p= 0.0893442
model: 2, best: 2, AStype: 1, top: 2, p= 0.337952, second: 6, p= 0.218719, third: 1, p= 0.141161
model: 2, best: 2, AStype: 1, top: 2, p= 0.381866, second: 6, p= 0.233698, third: 0, p= 0.128224
model: 2, best: 2, AStype: 2, top: 2, p= 0.79941, second: 6, p= 0.127272, third: 4, p= 0.0572006
model: 2, best: 2, AStype: 2, top: 2, p= 0.588861, second: 6, p= 0.17125, third: 4, p= 0.149251
model: 2, best: 2, AStype: 2, top: 2, p= 0.520847, second: 6, p= 0.252016, third: 8, p= 0.21425
model: 2, best: 2, AStype: 2, top: 2, p= 0.831655, second: 6, p= 0.141328, third: 4, p= 0.018431
model: 2, best: 2, AStype: 2, top: 2, p= 0.629453, second: 6, p= 0.35264, third: 8, p= 0.0133295
model: 2, best: 2, AStype: 2, top: 2, p= 0.821323, second: 8, p= 0.0857574, third: 6, p= 0.0783992
model: 2, best: 2, AStype: 2, top: 2, p= 0.783958, second: 6, p= 0.102681, third: 4, p= 0.0750265
model: 2, best: 2, AStype: 2, top: 2, p= 0.429557, second: 4, p= 0.20792, third: 1, p= 0.199146
model: 2, best: 2, AStype: 2, top: 2, p= 0.760983, second: 6, p= 0.228662, third: 4, p= 0.00765157
model: 2, best: 2, AStype: 3, top: 2, p= 0.986509, second: 6, p= 0.00889448, third: 8, p= 0.00296503
model: 2, best: 2, AStype: 3, top: 2, p= 0.992031, second: 6, p= 0.00621737, third: 8, p= 0.00152034
model: 2, best: 2, AStype: 3, top: 2, p= 0.987141, second: 6, p= 0.00913164, third: 8, p= 0.00245563
model: 2, best: 2, AStype: 3, top: 2, p= 0.982282, second: 6, p= 0.0156505, third: 8, p= 0.00169007
model: 2, best: 2, AStype: 3, top: 2, p= 0.982769, second: 6, p= 0.0107851, third: 8, p= 0.00389969
model: 2, best: 2, AStype: 3, top: 2, p= 0.98686, second: 6, p= 0.0100733, third: 8, p= 0.00252794
model: 2, best: 2, AStype: 3, top: 2, p= 0.989136, second: 6, p= 0.00659428, third: 8, p= 0.00300607
model: 2, best: 2, AStype: 3, top: 2, p= 0.992562, second: 6, p= 0.00441814, third: 8, p= 0.00224605
model: 2, best: 2, AStype: 3, top: 2, p= 0.99088, second: 6, p= 0.00619713, third: 8, p= 0.00195237
model: 3, best: 3, AStype: 1, top: 3, p= 0.59627, second: 9, p= 0.119124, third: 7, p= 0.0871949
model: 3, best: 3, AStype: 1, top: 3, p= 0.412151, second: 1, p= 0.245886, third: 5, p= 0.221028
model: 3, best: 3, AStype: 1, top: 3, p= 0.613638, second: 0, p= 0.178452, third: 8, p= 0.164964
model: 3, best: 3, AStype: 1, top: 3, p= 0.4133, second: 1, p= 0.250056, third: 9, p= 0.101295
model: 3, best: 3, AStype: 1, top: 3, p= 0.330771, second: 9, p= 0.154675, third: 1, p= 0.13683
model: 3, best: 3, AStype: 1, top: 3, p= 0.699799, second: 8, p= 0.147514, third: 1, p= 0.0477685
model: 3, best: 3, AStype: 1, top: 3, p= 0.673247, second: 9, p= 0.0926283, third: 8, p= 0.0627837
model: 3, best: 3, AStype: 1, top: 3, p= 0.632151, second: 5, p= 0.160168, third: 8, p= 0.0592375
model: 3, best: 3, AStype: 1, top: 3, p= 0.442906, second: 1, p= 0.211226, third: 7, p= 0.111727
model: 3, best: 3, AStype: 2, top: 3, p= 0.539694, second: 8, p= 0.251526, third: 0, p= 0.193558
model: 3, best: 3, AStype: 2, top: 3, p= 0.922448, second: 8, p= 0.0635493, third: 5, p= 0.00833326
model: 3, best: 3, AStype: 2, top: 3, p= 0.592735, second: 8, p= 0.21232, third: 0, p= 0.165738
model: 3, best: 3, AStype: 2, top: 3, p= 0.700815, second: 8, p= 0.248468, third: 0, p= 0.0391182
model: 3, best: 3, AStype: 2, top: 3, p= 0.543509, second: 4, p= 0.250535, third: 0, p= 0.179633
model: 3, best: 3, AStype: 2, top: 3, p= 0.530213, second: 8, p= 0.254749, third: 0, p= 0.174472
model: 3, best: 3, AStype: 2, top: 3, p= 0.759412, second: 8, p= 0.230781, third: 0, p= 0.00544564
model: 3, best: 3, AStype: 2, top: 3, p= 0.851177, second: 9, p= 0.05273, third: 1, p= 0.0488839
model: 3, best: 3, AStype: 2, top: 3, p= 0.505449, second: 5, p= 0.437678, third: 1, p= 0.0354936
model: 3, best: 3, AStype: 3, top: 3, p= 0.989327, second: 4, p= 0.00406718, third: 8, p= 0.00273932
model: 3, best: 3, AStype: 3, top: 3, p= 0.996349, second: 4, p= 0.00250987, third: 1, p= 0.000577056
model: 3, best: 3, AStype: 3, top: 3, p= 0.981985, second: 7, p= 0.0140224, third: 0, p= 0.00129129
model: 3, best: 3, AStype: 3, top: 3, p= 0.992666, second: 4, p= 0.00548132, third: 8, p= 0.000506236
model: 3, best: 3, AStype: 3, top: 3, p= 0.995933, second: 4, p= 0.00251326, third: 1, p= 0.000924914
model: 3, best: 3, AStype: 3, top: 3, p= 0.99519, second: 1, p= 0.00208407, third: 4, p= 0.00182014
model: 3, best: 3, AStype: 3, top: 3, p= 0.991951, second: 4, p= 0.00494856, third: 0, p= 0.000952652
model: 3, best: 3, AStype: 3, top: 3, p= 0.994741, second: 4, p= 0.00449215, third: 1, p= 0.00045961
model: 3, best: 3, AStype: 3, top: 3, p= 0.993321, second: 4, p= 0.00289575, third: 1, p= 0.00152175
model: 4, best: 4, AStype: 1, top: 4, p= 0.343978, second: 7, p= 0.185669, third: 9, p= 0.149531
model: 4, best: 4, AStype: 1, top: 4, p= 0.492175, second: 3, p= 0.22998, third: 0, p= 0.214435
model: 4, best: 4, AStype: 1, top: 4, p= 0.410313, second: 0, p= 0.324084, third: 3, p= 0.23007
model: 4, best: 4, AStype: 1, top: 4, p= 0.653928, second: 3, p= 0.152201, third: 0, p= 0.12545
model: 4, best: 5, AStype: 1, top: 5, p= 0.523378, second: 4, p= 0.147466, third: 7, p= 0.108771
model: 4, best: 4, AStype: 1, top: 4, p= 0.853934, second: 3, p= 0.0463412, third: 0, p= 0.0361434
model: 4, best: 9, AStype: 1, top: 9, p= 0.439434, second: 4, p= 0.360384, third: 5, p= 0.0718571
model: 4, best: 9, AStype: 1, top: 9, p= 0.233319, second: 4, p= 0.226135, third: 0, p= 0.169036
model: 4, best: 4, AStype: 1, top: 4, p= 0.342776, second: 9, p= 0.190367, third: 0, p= 0.130675
model: 4, best: 4, AStype: 2, top: 4, p= 0.419546, second: 0, p= 0.298604, third: 3, p= 0.218807
model: 4, best: 4, AStype: 2, top: 4, p= 0.425198, second: 0, p= 0.241978, third: 6, p= 0.187964
model: 4, best: 4, AStype: 2, top: 4, p= 0.419173, second: 0, p= 0.273899, third: 2, p= 0.151932
model: 4, best: 4, AStype: 2, top: 4, p= 0.33438, second: 0, p= 0.299742, third: 3, p= 0.281736
model: 4, best: 1, AStype: 2, top: 1, p= 0.4667, second: 4, p= 0.448116, third: 9, p= 0.0741944
model: 4, best: 1, AStype: 2, top: 1, p= 0.489601, second: 4, p= 0.475993, third: 9, p= 0.0238596
model: 4, best: 1, AStype: 2, top: 1, p= 0.475251, second: 4, p= 0.451893, third: 5, p= 0.0706809
model: 4, best: 4, AStype: 2, top: 4, p= 0.382544, second: 0, p= 0.272716, third: 6, p= 0.16552
model: 4, best: 1, AStype: 2, top: 1, p= 0.329379, second: 9, p= 0.324632, third: 4, p= 0.298892
model: 4, best: 4, AStype: 3, top: 4, p= 0.711532, second: 9, p= 0.101274, third: 5, p= 0.0833079
model: 4, best: 4, AStype: 3, top: 4, p= 0.536423, second: 5, p= 0.120168, third: 0, p= 0.118994
model: 4, best: 4, AStype: 3, top: 4, p= 0.380001, second: 0, p= 0.234504, third: 5, p= 0.227605
model: 4, best: 4, AStype: 3, top: 4, p= 0.334206, second: 0, p= 0.155094, third: 7, p= 0.134057
model: 4, best: 4, AStype: 3, top: 4, p= 0.283368, second: 2, p= 0.189582, third: 0, p= 0.187485
model: 4, best: 4, AStype: 3, top: 4, p= 0.512163, second: 5, p= 0.142805, third: 3, p= 0.122424
model: 4, best: 4, AStype: 3, top: 4, p= 0.513825, second: 5, p= 0.130015, third: 3, p= 0.127845
model: 4, best: 4, AStype: 3, top: 4, p= 0.645521, second: 9, p= 0.136973, third: 5, p= 0.0836119
model: 4, best: 4, AStype: 3, top: 4, p= 0.239539, second: 5, p= 0.200932, third: 0, p= 0.186348
model: 5, best: 5, AStype: 1, top: 5, p= 0.622917, second: 4, p= 0.315475, third: 1, p= 0.026106
model: 5, best: 5, AStype: 1, top: 5, p= 0.533055, second: 7, p= 0.250477, third: 1, p= 0.0884445
model: 5, best: 5, AStype: 1, top: 5, p= 0.45729, second: 0, p= 0.182162, third: 2, p= 0.0952416
model: 5, best: 5, AStype: 1, top: 5, p= 0.693209, second: 1, p= 0.102838, third: 9, p= 0.079437
model: 5, best: 5, AStype: 1, top: 5, p= 0.267464, second: 8, p= 0.231323, third: 0, p= 0.183494
model: 5, best: 5, AStype: 1, top: 5, p= 0.50835, second: 4, p= 0.323978, third: 3, p= 0.0831105
model: 5, best: 5, AStype: 1, top: 5, p= 0.511786, second: 8, p= 0.191101, third: 3, p= 0.175233
model: 5, best: 5, AStype: 1, top: 5, p= 0.389753, second: 0, p= 0.229121, third: 8, p= 0.171779
model: 5, best: 5, AStype: 1, top: 5, p= 0.488761, second: 1, p= 0.438777, third: 3, p= 0.0329958
