model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 3, p= 2.79317e-48, third: 4, p= 2.00003e-55
model: 1, best: 1, AStype: 3, top: 1, p= 1.0, second: 3, p= 2.48867e-53, third: 4, p= 3.74582e-56
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 4.028e-19, third: 9, p= 4.13039e-46
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 8.46557e-17, third: 0, p= 4.25002e-30
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 2.48546e-23, third: 9, p= 2.95824e-40
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 6.31041e-14, third: 4, p= 4.89779e-51
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 2.30257e-09, third: 5, p= 5.11995e-52
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 1.05845e-13, third: 5, p= 1.72889e-58
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 1.72118e-13, third: 5, p= 3.07859e-39
model: 2, best: 2, AStype: 1, top: 2, p= 1.0, second: 6, p= 2.18771e-08, third: 4, p= 3.00089e-58
model: 2, best: 2, AStype: 1, top: 2, p= 0.999989, second: 6, p= 1.05472e-05, third: 5, p= 1.49363e-42
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 5.33684e-39, third: 4, p= 3.70056e-63
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 1.48632e-26, third: 8, p= 3.44834e-42
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 1.15538e-22, third: 5, p= 1.81676e-64
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 4.89108e-24, third: 9, p= 2.92326e-60
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 1.1943e-31, third: 8, p= 2.61112e-39
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 2.53442e-26, third: 9, p= 4.9631e-47
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 3.9712e-21, third: 9, p= 1.86855e-52
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 1.22401e-31, third: 5, p= 5.64406e-58
model: 2, best: 2, AStype: 2, top: 2, p= 1.0, second: 6, p= 2.2335e-30, third: 5, p= 1.04007e-70
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 1.35784e-41, third: 8, p= 3.58321e-61
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 8.6672e-40, third: 4, p= 1.8796e-46
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 4.39403e-49, third: 0, p= 3.54183e-67
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 8.73904e-31, third: 4, p= 9.16641e-55
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 2.71261e-56, third: 8, p= 1.16184e-69
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 2.17185e-37, third: 5, p= 5.12936e-45
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 3.16971e-44, third: 4, p= 1.72524e-66
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 7.27908e-39, third: 5, p= 9.03816e-49
model: 2, best: 2, AStype: 3, top: 2, p= 1.0, second: 6, p= 3.37611e-46, third: 4, p= 1.53045e-57
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 9, p= 5.26816e-59, third: 8, p= 2.6834e-66
model: 3, best: 3, AStype: 1, top: 3, p= 1.0, second: 5, p= 6.98793e-43, third: 4, p= 1.32685e-45
