model: 1, best: 1, AStype: 3, top: 1, p= 0.985687, second: 9, p= 0.00779654, third: 7, p= 0.00250237
model: 1, best: 1, AStype: 3, top: 1, p= 0.96326, second: 9, p= 0.0159149, third: 7, p= 0.00954815
model: 1, best: 1, AStype: 3, top: 1, p= 0.972257, second: 9, p= 0.012614, third: 5, p= 0.00573777
model: 1, best: 1, AStype: 3, top: 1, p= 0.97938, second: 9, p= 0.0113751, third: 5, p= 0.00372855
model: 1, best: 1, AStype: 3, top: 1, p= 0.94388, second: 9, p= 0.0215568, third: 3, p= 0.0150997
model: 2, best: 2, AStype: 1, top: 2, p= 0.568982, second: 6, p= 0.329614, third: 0, p= 0.0352088
model: 2, best: 2, AStype: 1, top: 2, p= 0.648231, second: 6, p= 0.247875, third: 8, p= 0.0412173
model: 2, best: 2, AStype: 1, top: 2, p= 0.756355, second: 6, p= 0.171976, third: 1, p= 0.0243098
model: 2, best: 2, AStype: 1, top: 2, p= 0.515318, second: 6, p= 0.259611, third: 1, p= 0.120389
model: 2, best: 2, AStype: 1, top: 2, p= 0.467816, second: 6, p= 0.270936, third: 5, p= 0.0611738
model: 2, best: 2, AStype: 1, top: 2, p= 0.649316, second: 6, p= 0.225902, third: 1, p= 0.0810008
model: 2, best: 2, AStype: 1, top: 2, p= 0.787386, second: 6, p= 0.0912811, third: 1, p= 0.0511204
model: 2, best: 2, AStype: 1, top: 2, p= 0.520379, second: 6, p= 0.335406, third: 1, p= 0.104679
model: 2, best: 2, AStype: 1, top: 2, p= 0.839203, second: 6, p= 0.149223, third: 1, p= 0.00765863
model: 2, best: 2, AStype: 1, top: 2, p= 0.652023, second: 6, p= 0.287315, third: 4, p= 0.0401535
model: 2, best: 2, AStype: 2, top: 2, p= 0.889385, second: 6, p= 0.106443, third: 5, p= 0.00220066
model: 2, best: 2, AStype: 2, top: 2, p= 0.866502, second: 6, p= 0.0788083, third: 1, p= 0.0501327
model: 2, best: 2, AStype: 2, top: 2, p= 0.815175, second: 6, p= 0.165746, third: 1, p= 0.0173971
model: 2, best: 2, AStype: 2, top: 2, p= 0.706017, second: 6, p= 0.280069, third: 1, p= 0.0117963
model: 2, best: 2, AStype: 2, top: 2, p= 0.661297, second: 6, p= 0.297817, third: 5, p= 0.0216086
